iter	F1	Logloss
0	0.954576763	0.6444674818
1	0.9547929932	0.611492854
2	0.9551410218	0.5849193892
3	0.9550003467	0.5595594553
4	0.954968124	0.5263667597
5	0.9548163431	0.5045718681
6	0.9550130492	0.4808928205
7	0.9550713961	0.4542990713
8	0.9551666539	0.4275303326
9	0.9553428219	0.4114699378
10	0.9555690179	0.3925259566
11	0.9556909853	0.3800542976
12	0.9556801492	0.3692307461
13	0.9558185807	0.3532442573
14	0.9558751426	0.3421204924
15	0.9559647803	0.3337635123
16	0.9560451771	0.3243793773
17	0.956178117	0.309589145
18	0.9562612394	0.3001928531
19	0.9563851674	0.2895954505
20	0.9564280979	0.2846560294
21	0.9564711815	0.273102264
22	0.956627431	0.264566639
23	0.956667248	0.2598380208
24	0.9566814637	0.2563666736
25	0.9567599019	0.2530190801
26	0.956761269	0.2500008632
27	0.9567977426	0.2447542928
28	0.9568434676	0.2402337053
29	0.9570611447	0.2319891047
30	0.9571783446	0.2248451507
31	0.9572846407	0.2223572545
32	0.9573568009	0.2205744118
33	0.9573871642	0.2161504697
34	0.9574992581	0.2116697392
35	0.9575490857	0.2071334339
36	0.9576250119	0.2035180127
37	0.9576754652	0.2006051373
38	0.9577815347	0.1967201118
39	0.9578510423	0.1932613636
40	0.9579173519	0.1925589728
41	0.9579733042	0.1919587992
42	0.9580469622	0.1895992335
43	0.9581562511	0.1869123427
44	0.9581758637	0.1861735453
45	0.9582491287	0.1842370414
46	0.9583489436	0.1831166502
47	0.9584302494	0.1827075116
48	0.9584802206	0.1819397171
49	0.9585652773	0.1815032056
50	0.9586861008	0.1786600993
51	0.9587589605	0.1767285392
52	0.9588477564	0.1746882843
53	0.9589115859	0.1738804536
54	0.9589544361	0.1731487282
55	0.9590410018	0.1714010338
56	0.9590747521	0.1711608526
57	0.9591558978	0.1697617497
58	0.9592228414	0.16918805
59	0.9593141902	0.1677863526
60	0.959380889	0.1664240064
61	0.9594374935	0.1656965981
62	0.9595024258	0.1655003202
63	0.9595662885	0.1653205923
64	0.9596080764	0.1647469822
65	0.9597213036	0.1645748333
66	0.9597614045	0.164191957
67	0.959832247	0.1638070229
68	0.9599117036	0.1622483393
69	0.9599795626	0.1603591834
70	0.9600480547	0.1598497135
71	0.9601010294	0.1591353962
72	0.9601913594	0.1589808012
73	0.9602560783	0.1578601439
74	0.9603149511	0.1577254121
75	0.960397391	0.1569187616
76	0.9604795169	0.1567710969
77	0.9605379223	0.1562998326
78	0.9605796318	0.1551966417
79	0.9606537903	0.1546072256
80	0.9607447963	0.1544186416
81	0.9607976836	0.1540931767
82	0.9608578263	0.1538259371
83	0.9609191382	0.1536096762
84	0.9609786436	0.1534927412
85	0.9610278871	0.1533651596
86	0.9610839088	0.1528197237
87	0.9611496101	0.152691325
88	0.9612083115	0.1520587334
89	0.9612620669	0.1517244442
90	0.9613056791	0.1511357756
91	0.9613463203	0.1510204816
92	0.9613908563	0.1504595368
93	0.9614222431	0.1501305735
94	0.9614549862	0.1494347791
95	0.9614882118	0.1490828885
96	0.9615348829	0.1489796406
97	0.9615701059	0.1485403994
98	0.9616368894	0.1483564711
99	0.9616874987	0.148273874
100	0.96171669	0.1481050559
101	0.9617710191	0.1478757327
102	0.9618008057	0.147621388
103	0.9618483612	0.1471175916
104	0.9618621272	0.1467688634
105	0.9619033111	0.1466952794
106	0.9619510688	0.1464631587
107	0.9619995688	0.1459804082
108	0.962036687	0.1459077624
109	0.9620599392	0.1457586986
110	0.9620776817	0.1456829675
111	0.9621143612	0.1453969309
112	0.9621459591	0.1448758385
113	0.9622013387	0.1444841132
114	0.9622085515	0.1444157445
115	0.9622742362	0.1441215091
116	0.9623059675	0.1440141292
117	0.9623322392	0.1439470871
118	0.9623710984	0.1435072332
119	0.962385111	0.1434472549
120	0.9624217362	0.1432795532
121	0.9624509305	0.1429809981
122	0.9624900421	0.1429007442
123	0.9625089771	0.1428463534
124	0.9625285782	0.1426278708
125	0.9625772744	0.1425490883
126	0.962592111	0.1421839678
127	0.9626192077	0.1420994793
128	0.9626714691	0.141713536
129	0.9626940604	0.1416627041
130	0.9627551835	0.1414715336
131	0.9627738853	0.1412150873
132	0.9628208795	0.1410588671
133	0.9628362485	0.1410047295
134	0.9628576263	0.1409441182
135	0.9629103895	0.1408010827
136	0.962937106	0.1407480909
137	0.9629427888	0.1406093426
138	0.9629627218	0.1405733701
139	0.9629853719	0.1405052686
140	0.9630424548	0.1404454947
141	0.9630731157	0.1402520885
142	0.9630903128	0.1401900197
143	0.9631178298	0.1398596373
144	0.9631297278	0.1397322714
145	0.9631527483	0.1396925051
146	0.963195339	0.1393127957
147	0.9632208619	0.1392630425
148	0.9632589577	0.1391889453
149	0.9632677979	0.1391463576
150	0.9632747463	0.1390820572
151	0.9632919877	0.1390234708
152	0.9633249815	0.138779179
153	0.9633615432	0.1387305376
154	0.9633572261	0.138566976
155	0.9633672642	0.1385235821
156	0.9633951788	0.1383442997
157	0.9634093582	0.1383125439
158	0.9634175706	0.138277387
159	0.9634496956	0.1380857091
160	0.9634541651	0.1379462612
161	0.9634736551	0.1378857244
162	0.9634732234	0.1376907586
163	0.9635085159	0.1375575091
164	0.9635121602	0.1375205301
165	0.9635397264	0.1374785385
166	0.9635695901	0.1374154898
167	0.9636022114	0.1373740714
168	0.9636425002	0.1373354785
169	0.9636676563	0.1372999341
170	0.9636724907	0.1372658787
171	0.963688473	0.1371979108
172	0.9637152771	0.1371597966
173	0.963722809	0.1371272022
174	0.9637161773	0.1370911865
175	0.9637376749	0.1370502227
176	0.9637553711	0.1370187369
177	0.9637843474	0.1369854765
178	0.9637981789	0.1369517433
179	0.9638016512	0.1369215714
180	0.9638088613	0.136824591
181	0.9638043324	0.1367860646
182	0.9638193493	0.1367579721
183	0.9638087212	0.1367239218
184	0.9638278725	0.1366919232
185	0.9638441392	0.1366540929
186	0.963852601	0.1366176992
187	0.9638739209	0.1365847433
188	0.9638943241	0.13651039
189	0.9638834359	0.1364812188
190	0.963906006	0.1364525294
191	0.9639260845	0.1364259037
192	0.9639437359	0.1363313994
193	0.9639705063	0.1363055989
194	0.9639889468	0.1362817447
195	0.9640008921	0.1362530145
196	0.9640030686	0.1360797879
197	0.9639946109	0.1360502899
198	0.9640064951	0.1360305878
199	0.9640166717	0.1360080399
200	0.9640425323	0.135975229
201	0.9640287574	0.1359470816
202	0.9640483844	0.135929282
203	0.9640349422	0.1358877954
204	0.9640693443	0.1357170549
205	0.9640830677	0.1356668836
206	0.9640671287	0.1356420903
207	0.9640580792	0.1356205856
208	0.9640679311	0.1355904345
209	0.9640683323	0.135570659
210	0.9640770723	0.1355399662
211	0.964089027	0.1355196991
212	0.9640948116	0.135500369
213	0.9641018431	0.1354536803
214	0.9641324462	0.1354262515
215	0.9641438106	0.1353995301
216	0.9641409335	0.1353827128
217	0.9641572236	0.1353516363
218	0.964157628	0.1353300039
219	0.9641848804	0.1353060183
220	0.9641953987	0.1352842538
221	0.9641978391	0.135210286
222	0.9642160393	0.1351887591
223	0.9642285264	0.1351670124
224	0.9642419297	0.1351253616
225	0.9642556052	0.1351068462
226	0.9642541732	0.1350813573
227	0.9642685612	0.1350564909
228	0.9642690282	0.1350352276
229	0.9642784226	0.135013121
230	0.9642991881	0.1349886245
231	0.9643235558	0.1349598135
232	0.9643455	0.1349340901
233	0.9643671133	0.1349081712
234	0.9643802576	0.1348836421
235	0.964379206	0.1348646405
236	0.964383242	0.1347718498
237	0.9643914608	0.13475379
238	0.9643938514	0.1346830621
239	0.9644020709	0.1346630758
240	0.9644161315	0.1346340954
241	0.9644116743	0.134618196
242	0.9644372358	0.1345974583
243	0.964452224	0.1345804967
244	0.9644619397	0.1345644523
245	0.9644746862	0.1345424876
246	0.9644883052	0.1344587297
247	0.9644992259	0.1344382168
248	0.964513953	0.1344212741
249	0.9645292065	0.1344035079
250	0.9645325712	0.134299298
251	0.9645358819	0.1342760927
252	0.9645479806	0.1342481429
253	0.9645700586	0.1342234366
254	0.9645630427	0.1342053895
255	0.9645704076	0.1341895834
256	0.9645943974	0.1341664313
257	0.9645948004	0.1341468284
258	0.9646057084	0.1341321692
259	0.9646142661	0.1341036992
260	0.9646109335	0.1340817702
261	0.9646206669	0.1340573494
262	0.9646487979	0.1340360001
263	0.9646764549	0.1340068265
264	0.9646862078	0.1338655151
265	0.9646780893	0.1338384498
266	0.964693946	0.1337188189
267	0.9646861609	0.1336996808
268	0.9647006841	0.1336821517
269	0.9647010369	0.1336684189
270	0.9647187887	0.1336475982
271	0.9647377149	0.133621329
272	0.9647460647	0.1336112099
273	0.9647512062	0.1335864153
274	0.9647664691	0.1335680331
275	0.9647757507	0.1335483202
276	0.9647798402	0.1335121151
277	0.9647895065	0.1334923901
278	0.9648058451	0.1332075935
279	0.9648097434	0.1331834299
280	0.9648127809	0.1331713669
281	0.9648278329	0.1331561932
282	0.964841185	0.1331294359
283	0.9648501568	0.1330875736
284	0.964862122	0.1330719837
285	0.9648667399	0.1330571413
286	0.9648594638	0.133035196
287	0.9648694667	0.13301577
288	0.9648721221	0.1329086381
289	0.9648661619	0.1328949068
290	0.964880426	0.1328777819
291	0.9648796595	0.1328556575
292	0.9648869591	0.1328358026
293	0.9649025398	0.1328174796
294	0.9649206813	0.1327988414
295	0.9649297044	0.1327797478
296	0.9649371481	0.1327653772
297	0.9649363108	0.1327465739
298	0.9649407867	0.1327322787
299	0.9649461965	0.1327176273
300	0.9649529701	0.132703893
301	0.964966925	0.1326884088
302	0.964956562	0.1326717721
303	0.9649671413	0.1326558205
304	0.9649661854	0.1326335095
305	0.9649778181	0.1326165639
306	0.9649882787	0.1325986289
307	0.9649915108	0.1325740047
308	0.9649848344	0.1325641809
309	0.9649947223	0.1324437829
310	0.9649902713	0.1324283661
311	0.9650201219	0.1324044053
312	0.9650392016	0.1323798252
313	0.9650339154	0.1323646184
314	0.9650396369	0.1323470083
315	0.9650360948	0.1323298086
316	0.9650405264	0.1323070004
317	0.9650597984	0.1322853903
318	0.965072822	0.1322665272
319	0.965080124	0.1322469328
320	0.9650759375	0.1322321145
321	0.9650975078	0.1322131803
322	0.9651051463	0.1321902734
323	0.965105819	0.1321698121
324	0.9651118773	0.1321546585
325	0.9651315312	0.132129009
326	0.9651563798	0.1321039691
327	0.9651579461	0.1319398285
328	0.9651667858	0.1318962976
329	0.9651791373	0.131880364
330	0.9651800743	0.1318618658
331	0.9651816549	0.131839034
332	0.9651875974	0.1318056769
333	0.9651937301	0.131793327
334	0.9652124046	0.1317782672
335	0.9652203083	0.1317630197
336	0.9652276116	0.1317445404
337	0.9652445893	0.131733348
338	0.9652551702	0.1317147477
339	0.9652707569	0.1316947016
340	0.9652954912	0.1316359813
341	0.9652982001	0.1316293335
342	0.9652855439	0.1316184243
343	0.9652894222	0.1316022736
344	0.9653024486	0.1315856928
345	0.9653059069	0.1315307908
346	0.9653150553	0.131515874
347	0.9653230346	0.1315006817
348	0.9653396359	0.1314012748
349	0.965348859	0.1313915394
350	0.9653468995	0.1313781728
351	0.9653527715	0.1313632716
352	0.9653604139	0.1313423906
353	0.9653708808	0.1313118287
354	0.9653682454	0.1312954232
355	0.965390199	0.1312732007
356	0.9653953555	0.1312440284
357	0.9653894033	0.1312201744
358	0.9654059325	0.1311974667
359	0.9654308605	0.1311826009
360	0.965453039	0.1311645407
361	0.9654490466	0.1311465934
362	0.9654679127	0.131127114
363	0.9654745021	0.1311134278
364	0.9654678722	0.1309295722
365	0.9655154715	0.1309091541
366	0.9655234549	0.1308912994
367	0.9655179192	0.130790977
368	0.9655232668	0.1307649432
369	0.9655373514	0.1307431264
370	0.965546051	0.13072121
371	0.9655458257	0.1306886716
372	0.9655735055	0.1306730726
373	0.9655733175	0.1306553854
374	0.9655776871	0.1306378842
375	0.9655774991	0.1306117731
376	0.9655927513	0.1305981408
377	0.96559053	0.1305837153
378	0.9656092855	0.1305613651
379	0.9656123374	0.1305403581
380	0.9656143348	0.1305223655
381	0.9656383643	0.1304716341
382	0.9656513958	0.1304487136
383	0.9656512843	0.1304246308
384	0.9656678202	0.1304048782
385	0.9656607416	0.130393525
386	0.9656739612	0.130383714
387	0.9656840927	0.1303703983
388	0.9656912124	0.130355968
389	0.9656937384	0.1303388486
390	0.9657082766	0.1303268183
391	0.9657147164	0.1303075009
392	0.9657041757	0.1302894204
393	0.9657245501	0.1302706572
394	0.9657279784	0.1302484531
395	0.9657400328	0.1302303808
396	0.9657571317	0.1302180571
397	0.9657632741	0.1302028052
398	0.965776494	0.1301861874
399	0.9657659882	0.1301683084
400	0.9657669329	0.1301141346
401	0.9657758999	0.1300982542
402	0.9657845702	0.1299146704
403	0.9658035163	0.1298973163
404	0.9658049891	0.129873506
405	0.965804242	0.1298091458
406	0.9658071106	0.1297945024
407	0.965810012	0.1297764892
408	0.9658258709	0.1297540109
409	0.9658525768	0.1297391922
410	0.9658524675	0.1297172498
411	0.9658749528	0.1297014077
412	0.9658752623	0.1296216559
413	0.9658934956	0.1296027227
414	0.9659084547	0.1295796389
415	0.9659100841	0.1294662458
416	0.965911636	0.1294386648
417	0.9659216611	0.1294185735
418	0.9659232909	0.1293277899
419	0.9659219101	0.1292480266
420	0.9659280254	0.1291601992
421	0.9659243007	0.129146031
422	0.9659457338	0.1291282439
423	0.9659552325	0.1291114771
424	0.9659611153	0.1290906179
425	0.9659602156	0.1290712531
426	0.9659773969	0.1290591564
427	0.9659786566	0.1289585193
428	0.9659960243	0.1289414756
429	0.966003413	0.128927478
430	0.966021465	0.1289135259
431	0.9660355587	0.1288946659
432	0.9660377482	0.1288769424
433	0.9660505226	0.1288616033
434	0.9660401729	0.1288353288
435	0.9660590176	0.1288116347
436	0.9660588322	0.1287967727
437	0.9660664073	0.1287807116
438	0.9660623131	0.1287165352
439	0.9660746391	0.1287006139
440	0.966092272	0.1286860945
441	0.9660929292	0.1285822188
442	0.9660920308	0.1285678803
443	0.9660996065	0.1285535482
444	0.9661092938	0.1285352231
445	0.9661258441	0.1285114247
446	0.9661375644	0.1284977113
447	0.9661487568	0.1284820416
448	0.9661602133	0.1284662298
449	0.9661654135	0.1284515942
450	0.9661666009	0.1284304331
451	0.9661656241	0.1284118186
452	0.9661672604	0.1283073583
453	0.9661737809	0.1282948581
454	0.9661808294	0.1282768674
455	0.9661860036	0.1282593955
456	0.9661814629	0.1282050572
457	0.9661841821	0.1281837459
458	0.9661821228	0.1281681621
459	0.9661874823	0.1280898068
460	0.9662086297	0.1280718726
461	0.9662284573	0.1280523805
462	0.966231177	0.1280421067
463	0.9662297518	0.1280253558
464	0.9662544374	0.1279898691
465	0.9662444329	0.1279383835
466	0.9662475761	0.1278682365
467	0.9662549695	0.1278542138
468	0.9662626817	0.1276745984
469	0.9662671458	0.1275959409
470	0.9662824868	0.1275755009
471	0.9662880078	0.1274960348
472	0.9663011321	0.1274802515
473	0.9663009479	0.127468571
474	0.9662911276	0.1274530093
475	0.9663082139	0.1274413917
476	0.9663188581	0.1274155698
477	0.9663285501	0.1274007968
478	0.9663156404	0.1273914039
479	0.9663227716	0.1273767371
480	0.9663319357	0.1273638202
481	0.9663305912	0.1273445475
482	0.966336218	0.1272825921
483	0.9663510331	0.1272685922
484	0.9663706026	0.1272453416
485	0.9663818	0.1272352202
486	0.966384786	0.127217769
487	0.9664034829	0.1271992518
488	0.9663980739	0.127180179
489	0.9664080314	0.1271602616
490	0.9663847974	0.1271482291
491	0.9664066654	0.1271050553
492	0.96641095	0.1270135136
493	0.966421862	0.1269927924
494	0.966427674	0.126980323
495	0.9664346236	0.1269631005
496	0.9664552746	0.1269423036
497	0.9664639122	0.126929696
498	0.9664699888	0.1269101552
499	0.9664791549	0.1268941932
500	0.9664785242	0.1268801618
501	0.9664838083	0.1268654992
502	0.9664855555	0.126845942
503	0.9664892545	0.1268349589
504	0.9664870386	0.126822619
