iter	Passed	Remaining
0	198	158549
1	244	97477
2	288	76763
3	331	66004
4	373	59406
5	414	54857
6	455	51548
7	498	49344
8	539	47442
9	580	45849
10	622	44665
11	663	43561
12	703	42600
13	745	41860
14	786	41162
15	829	40629
16	871	40124
17	913	39703
18	957	39344
19	998	38927
20	1037	38498
21	1078	38147
22	1118	37790
23	1158	37473
24	1200	37215
25	1242	37000
26	1284	36761
27	1326	36570
28	1366	36340
29	1409	36168
30	1451	36006
31	1493	35833
32	1534	35672
33	1575	35490
34	1615	35315
35	1657	35175
36	1699	35044
37	1739	34880
38	1782	34789
39	1825	34693
40	1866	34555
41	1907	34432
42	1950	34329
43	1992	34229
44	2037	34183
45	2080	34103
46	2122	34012
47	2163	33896
48	2205	33798
49	2248	33733
50	2291	33648
51	2333	33567
52	2375	33479
53	2419	33420
54	2459	33315
55	2499	33212
56	2541	33133
57	2584	33062
58	2624	32957
59	2666	32887
60	2711	32846
61	2755	32795
62	2795	32702
63	2837	32626
64	2878	32549
65	2921	32495
66	2962	32408
67	3003	32328
68	3044	32257
69	3088	32204
70	3133	32174
71	3177	32127
72	3223	32106
73	3273	32119
74	3326	32155
75	3381	32212
76	3436	32262
77	3498	32384
78	3559	32483
79	3618	32564
80	3682	32687
81	3743	32777
82	3806	32885
83	3871	32998
84	3935	33100
85	4000	33211
86	4063	33301
87	4131	33430
88	4201	33561
89	4266	33654
90	4334	33771
91	4397	33841
92	4463	33932
93	4529	34020
94	4599	34133
95	4669	34240
96	4738	34338
97	4810	34461
98	4885	34593
99	4952	34669
100	5016	34719
101	5079	34759
102	5149	34848
103	5214	34897
104	5278	34941
105	5342	34978
106	5407	35021
107	5483	35135
108	5559	35241
109	5628	35306
110	5693	35343
111	5759	35378
112	5827	35427
113	5890	35447
114	5954	35465
115	6021	35504
116	6099	35604
117	6164	35629
118	6227	35637
119	6295	35673
120	6367	35730
121	6439	35784
122	6505	35808
123	6573	35837
124	6637	35843
125	6703	35859
126	6767	35860
127	6828	35851
128	6895	35867
129	6964	35895
130	7029	35896
131	7091	35886
132	7157	35893
133	7221	35889
134	7282	35874
135	7346	35870
136	7408	35851
137	7473	35851
138	7532	35821
139	7595	35805
140	7657	35790
141	7723	35787
142	7785	35769
143	7846	35746
144	7913	35745
145	7978	35740
146	8040	35716
147	8105	35709
148	8169	35695
149	8233	35680
150	8296	35658
151	8360	35643
152	8424	35626
153	8489	35609
154	8550	35581
155	8614	35563
156	8677	35539
157	8740	35516
158	8806	35502
159	8873	35493
160	8935	35463
161	9004	35461
162	9066	35431
163	9130	35406
164	9197	35394
165	9258	35362
166	9320	35326
167	9380	35290
168	9444	35264
169	9510	35245
170	9573	35212
171	9647	35223
172	9715	35211
173	9784	35202
174	9856	35200
175	9919	35168
176	9981	35131
177	10047	35108
178	10113	35086
179	10184	35078
180	10255	35074
181	10319	35040
182	10385	35016
183	10451	34989
184	10513	34951
185	10579	34924
186	10648	34905
187	10714	34878
188	10783	34861
189	10847	34825
190	10916	34805
191	10978	34766
192	11042	34729
193	11105	34689
194	11164	34638
195	11223	34585
196	11287	34549
197	11357	34531
198	11426	34510
199	11494	34483
200	11563	34460
201	11636	34447
202	11704	34420
203	11771	34391
204	11833	34347
205	11896	34304
206	11957	34255
207	12024	34223
208	12086	34176
209	12154	34148
210	12226	34129
211	12290	34089
212	12354	34046
213	12420	34010
214	12486	33975
215	12548	33927
216	12609	33877
217	12672	33832
218	12736	33788
219	12807	33763
220	12883	33754
221	12959	33740
222	13038	33737
223	13116	33728
224	13200	33733
225	13278	33725
226	13354	33710
227	13431	33697
